ts,event,symbol,detail
1755209522153,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209522954,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209522954,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209523754,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209523755,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209524555,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209524555,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209525354,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209525356,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209526155,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209526155,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209526959,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209526959,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209527757,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209527757,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209528558,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209528972,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209529357,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209530159,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209530159,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209530961,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209530961,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209531758,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209531758,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209532561,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209532561,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209533367,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209533367,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209534161,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209534162,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209534958,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209534961,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209535760,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209535761,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209536561,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209536563,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209537366,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209537366,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209538162,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209538163,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209538967,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209538967,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209539767,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209539767,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209540566,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209540570,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209541369,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209541369,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209542169,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209542169,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209542974,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209542974,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209543773,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209543773,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209544572,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209544572,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209545374,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209545374,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209546176,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209546176,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209546977,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209546977,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209547774,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209547776,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209548576,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209548576,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209549376,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209549377,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209550178,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209550178,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209550981,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209550981,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209551779,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209551779,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209552575,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209552579,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209553379,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209553380,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209554181,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209554181,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209554980,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
